#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-20 12:05::04.426

Time (s),Channel 2 (V)
-2.3807999999999998,-0.33485210763687207
-2.38021875,-0.33485210763687207
-2.3796374999999999,-0.33485210763687207
-2.3790562500000001,-0.33485210763687207
-2.3784749999999999,-0.33485210763687207
-2.3778937499999997,-0.33485210763687207
-2.3773124999999999,-0.33485210763687207
-2.3767312499999997,-0.33485210763687207
-2.37615,-0.33485210763687207
-2.3755687499999998,-0.33485210763687207
-2.3749875,-0.33485210763687207
-2.3744062499999998,-0.33485210763687207
-2.3738250000000001,-0.33485210763687207
-2.3732437499999999,-0.33150369979755118
-2.3726625000000001,-0.33485210763687057
-2.3720812499999999,-0.33485210763687207
-2.3714999999999997,-0.33485210763687207
-2.37091875,-0.33485210763687207
-2.3703374999999998,-0.33485210763687057
-2.36975625,-0.33150369979755118
-2.3691749999999998,-0.33485210763687207
-2.3685937500000001,-0.33150369979755268
-2.3680124999999999,-0.33150369979755118
-2.3674312500000001,-0.33150369979755118
-2.3668499999999999,-0.33150369979755118
-2.3662687499999997,-0.33150369979755118
-2.3656874999999999,-0.33150369979755118
-2.3651062499999997,-0.33150369979755118
-2.364525,-0.33150369979755118
-2.3639437499999998,-0.33150369979755118
-2.3633625,-0.33485210763687207
-2.3627812499999998,-0.33150369979755118
-2.3622000000000001,-0.33150369979755118
-2.3616187499999999,-0.33150369979755118
-2.3610375000000001,-0.33150369979755118
-2.3604562499999999,-0.33150369979755118
-2.3598749999999997,-0.33150369979755118
-2.35929375,-0.33150369979755118
-2.3587124999999998,-0.33150369979755118
-2.35813125,-0.33150369979755118
-2.3575499999999998,-0.33150369979755118
-2.3569687500000001,-0.33150369979755118
-2.3563874999999999,-0.33150369979755118
-2.3558062500000001,-0.33150369979755118
-2.3552249999999999,-0.33150369979755118
-2.3546437499999997,-0.33150369979755118
-2.3540624999999999,-0.33150369979755118
-2.3534812499999997,-0.33150369979755118
-2.3529,-0.33150369979755118
-2.3523187499999998,-0.33150369979755118
-2.3517375,-0.33150369979755118
-2.3511562499999998,-0.33150369979755118
-2.3505750000000001,-0.33150369979755118
-2.3499937499999999,-0.33150369979755118
-2.3494125000000001,-0.33150369979755118
-2.3488312499999999,-0.33150369979755118
-2.3482499999999997,-0.33150369979755118
-2.34766875,-0.33150369979755118
-2.3470874999999998,-0.33150369979755118
-2.34650625,-0.33150369979755118
-2.3459249999999998,-0.33150369979755118
-2.3453437500000001,-0.33150369979755118
-2.3447624999999999,-0.33150369979755118
-2.3441812500000001,-0.33150369979755118
-2.3435999999999999,-0.33150369979755118
-2.3430187499999997,-0.33150369979755118
-2.3424375,-0.33150369979755118
-2.3418562499999998,-0.33150369979755118
-2.341275,-0.33150369979755118
-2.3406937499999998,-0.33150369979755118
-2.3401125,-0.33150369979755118
-2.3395312499999998,-0.32815529195823034
-2.3389500000000001,-0.33150369979754968
-2.3383687499999999,-0.33150369979755118
-2.3377875000000001,-0.32815529195823184
-2.3372062499999999,-0.32815529195823034
-2.3366249999999997,-0.32815529195823034
-2.33604375,-0.32815529195823034
-2.3354624999999998,-0.32815529195823034
-2.33488125,-0.32815529195823034
-2.3342999999999998,-0.32815529195823034
-2.3337187500000001,-0.32815529195823034
-2.3331374999999999,-0.32815529195823034
-2.3325562500000001,-0.32815529195823034
-2.3319749999999999,-0.32815529195823034
-2.3313937499999997,-0.32815529195823034
